lemma|MFS|LDA|Improvement_LDA|num_senses|num_tokens
moral.n|25.00|33.33|8.33|3|14
nación.n|46.67|42.22|-4.45|3|47
incremento.n|25.00|21.67|-3.33|6|67
fragmento.n|50.00|66.67|16.67|2|6
república.n|66.67|66.67|0.0|2|10
aportación.n|57.14|71.43|14.29|2|22
observador.n|50.00|83.33|33.33|2|25
Barcelona.n|87.50|100.00|12.5|2|25
ausencia.n|77.78|100.00|22.22|2|28
deseo.n|66.67|69.44|2.77|3|38
novedad.n|50.00|66.67|16.67|2|14
cultura.n|77.78|75.31|-2.47|2|83
auto.n|50.00|50.00|0.0|2|14
ética.n|50.00|100.00|50.0|2|9
veto.n|50.00|100.00|50.0|2|9
montaje.n|60.00|40.00|-20.0|3|17
tecnología.n|78.57|57.14|-21.43|2|44
electricidad.n|83.33|88.89|5.56|2|19
superviviente.n|50.00|66.67|16.67|2|7
período.n|42.86|42.86|0.0|2|23
rebaja.n|71.43|57.14|-14.29|2|22
puerta.n|80.00|90.00|10.0|2|62
importe.n|66.67|94.44|27.77|2|18
punto.n|50.00|27.35|-22.65|6|241
carne.n|75.00|91.67|16.67|2|13
tribunal.n|83.33|88.89|5.56|2|39
compañero.n|40.00|48.00|8.0|5|80
tramo.n|71.43|57.14|-14.29|2|25
raza.n|50.00|66.67|16.67|2|15
periódico.n|80.00|93.33|13.33|2|30
guerra.n|53.33|57.78|4.45|2|135
etapa.n|41.18|31.37|-9.81|4|57
demanda.n|42.11|28.07|-14.04|4|61
árabe.n|50.00|83.33|33.33|2|7
madre.n|94.44|90.74|-3.7|2|56
poder.n|63.89|67.59|3.7|6|118
permiso.n|55.56|66.67|11.11|2|30
secreto.n|80.00|100.00|20.0|2|16
producción.n|53.57|44.05|-9.52|5|87
hipótesis.n|66.67|77.78|11.11|2|10
riesgo.n|86.36|100.00|13.64|2|68
cámara.n|58.82|33.33|-25.49|4|53
herramienta.n|66.67|77.78|11.11|2|10
